tempMLX,FSR_A1,FSR_A2,FSR_A3,FSR_B1,FSR_B2,FSR_B3,FSR_C,porcAper
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.83,0.0,0.0,0.0,17.0,0.0,0.0,0.0,15.0
24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
