tempMLX,FSR_A1,FSR_A2,FSR_A3,FSR_B1,FSR_B2,FSR_B3,FSR_C,porcAper
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
25.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
