tempMLX,FSR_A1,FSR_A2,FSR_A3,FSR_B1,FSR_B2,FSR_B3,FSR_C,porcAper
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
26.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
